"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Richtung (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satelliten"
3.241551447E1,4.623020623E1,6.054436751E0,4.278330956E2,1.500000000E0,3.304687500E1,7.963977956E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.341547143E1,4.623021591E1,6.054447731E0,4.284857445E2,1.500000000E0,3.339843750E1,8.081884408E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.441542995E1,4.623022471E1,6.054456281E0,4.291770287E2,1.179999948E0,2.390625000E1,8.199790853E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.541538990E1,4.623023519E1,6.054461226E0,4.290722313E2,1.159999967E0,2.320312500E1,8.315385061E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.641535091E1,4.623024550E1,6.054463154E0,4.285158348E2,1.110000014E0,1.828125000E1,8.430979269E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.741531312E1,4.623025551E1,6.054465165E0,4.285400047E2,1.110000014E0,1.828125000E1,8.556539597E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.841527581E1,4.623026666E1,6.054467764E0,4.281951561E2,1.240000010E0,1.792968750E1,8.682099923E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.941524017E1,4.623027647E1,6.054469775E0,4.278938866E2,1.110000014E0,1.792968750E1,8.801442688E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.041520393E1,4.623028720E1,6.054469356E0,4.274194603E2,1.240000010E0,1.125000000E1,8.920785452E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.141517019E1,4.623030011E1,6.054465333E0,4.271134911E2,1.470000029E0,3.568359375E2,9.062823960E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.241513693E1,4.623031222E1,6.054459466E0,4.265803490E2,1.529999971E0,3.536718750E2,9.204862464E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.341510451E1,4.623032307E1,6.054454017E0,4.263047752E2,1.529999971E0,3.526171875E2,9.324617336E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.441507256E1,4.623033376E1,6.054452090E0,4.265855370E2,1.419999957E0,4.218750000E0,9.444372208E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.541504133E1,4.623034369E1,6.054451838E0,4.262347069E2,1.379999995E0,4.921875000E0,9.544639562E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.641501081E1,4.623035270E1,6.054451335E0,4.260365257E2,1.250000000E0,4.570312500E0,9.644906916E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.741498017E1,4.623036389E1,6.054453766E0,4.264202538E2,1.539999962E0,9.843750000E0,9.787289735E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.841495085E1,4.623037613E1,6.054459214E0,4.260600243E2,1.539999962E0,1.125000000E1,9.929672551E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.941492248E1,4.623038791E1,6.054465752E0,4.264616356E2,1.509999990E0,1.898437500E1,1.008206219E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.041489351E1,4.623040107E1,6.054471284E0,4.268653221E2,1.500000000E0,1.757812500E1,1.023445182E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.141486526E1,4.623041330E1,6.054474637E0,4.269320946E2,1.370000005E0,9.843750000E0,1.037636426E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.241483784E1,4.623042600E1,6.054476481E0,4.271925926E2,1.559999943E0,9.843750000E0,1.051827671E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.341481066E1,4.623043950E1,6.054477403E0,4.272674217E2,1.559999943E0,5.625000000E0,1.065045552E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.441478407E1,4.623045132E1,6.054479247E0,4.273211327E2,1.330000043E0,5.625000000E0,1.078263433E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.541475821E1,4.623046460E1,6.054480085E0,4.272976952E2,1.330000043E0,3.582421875E2,1.093138179E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.641473150E1,4.623047797E1,6.054480756E0,4.274623070E2,1.250000000E0,3.589453125E2,1.108012925E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.741470540E1,4.623048899E1,6.054481007E0,4.273434715E2,9.900000095E-1,3.589453125E2,1.120828920E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.841468048E1,4.623050052E1,6.054480840E0,4.275577049E2,1.259999990E0,3.568359375E2,1.133644914E-1,5.000000000E0,5.000000000E0,0.000000000E0
5.941465461E1,4.623051422E1,6.054480756E0,4.274338036E2,1.259999990E0,7.031250000E-1,1.150935278E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.041462958E1,4.623052969E1,6.054478409E0,4.269959373E2,1.370000005E0,3.515625000E-1,1.168225643E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.141460526E1,4.623054482E1,6.054475643E0,4.272246361E2,1.370000005E0,3.582421875E2,1.183678981E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.241458011E1,4.623055860E1,6.054473128E0,4.272736473E2,1.269999981E0,3.582421875E2,1.199132319E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.341455579E1,4.623057218E1,6.054469524E0,4.271994286E2,1.269999981E0,3.469921875E2,1.210554923E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.441453159E1,4.623058224E1,6.054466506E0,4.272834740E2,1.259999990E0,3.473437500E2,1.221977526E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.541450763E1,4.623058861E1,6.054462651E0,4.272856102E2,7.699999809E-1,3.469921875E2,1.230591097E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.641448450E1,4.623059595E1,6.054459047E0,4.276454735E2,7.699999809E-1,3.505078125E2,1.239204668E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.741445982E1,4.623060269E1,6.054456532E0,4.277294579E2,6.499999762E-1,3.505078125E2,1.250012913E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.841443706E1,4.623061237E1,6.054455275E0,4.277568016E2,1.190000057E0,3.515625000E2,1.260821158E-1,5.000000000E0,5.000000000E0,0.000000000E0
6.941441309E1,4.623062507E1,6.054456783E0,4.277237206E2,1.190000057E0,5.976562500E0,1.270583445E-1,5.000000000E0,5.000000000E0,0.000000000E0
7.041438997E1,4.623063379E1,6.054458292E0,4.279567528E2,1.190000057E0,5.976562500E0,1.280345732E-1,5.000000000E0,5.000000000E0,0.000000000E0
