"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.205350000E-1,-2.406601715E1,4.187434196E0,-4.446073914E1,5.072933186E1
6.305590000E-1,-2.453111267E1,4.655923843E0,-4.415893555E1,5.072932785E1
6.405670000E-1,-2.453111267E1,4.655923843E0,-4.415893555E1,5.072932785E1
6.505660000E-1,-2.548797989E1,5.642455101E0,-4.349701691E1,5.072932976E1
6.605870000E-1,-2.598009872E1,6.141198635E0,-4.313681793E1,5.072932990E1
6.705950000E-1,-2.598009872E1,6.141198635E0,-4.313681793E1,5.072932990E1
6.806040000E-1,-2.712042046E1,6.904417992E0,-4.231166077E1,5.072932909E1
6.906130000E-1,-2.775112534E1,7.156558037E0,-4.185837555E1,5.072932962E1
7.006210000E-1,-2.836959457E1,7.346469879E0,-4.140845871E1,5.072933046E1
7.106010000E-1,-2.891870689E1,7.488459110E0,-4.100117111E1,5.072932742E1
7.206400000E-1,-2.935242271E1,7.613879681E0,-4.066852188E1,5.072932638E1
7.306480000E-1,-2.935242271E1,7.613879681E0,-4.066852188E1,5.072932638E1
7.406550000E-1,-3.002940369E1,7.963667393E0,-4.010336304E1,5.072932890E1
7.506680000E-1,-3.002940369E1,7.963667393E0,-4.010336304E1,5.072932890E1
7.606760000E-1,-3.060514259E1,8.575593948E0,-3.953794861E1,5.072933022E1
7.706800000E-1,-3.086805916E1,8.992195129E0,-3.923987579E1,5.072932586E1
7.806940000E-1,-3.086805916E1,8.992195129E0,-3.923987579E1,5.072932586E1
7.907020000E-1,-3.116002655E1,9.981567383E0,-3.876707077E1,5.072932799E1
8.006810000E-1,-3.111701965E1,1.057906723E1,-3.864297485E1,5.072933157E1
8.107200000E-1,-3.091898155E1,1.124776936E1,-3.861307144E1,5.072933098E1
8.207280000E-1,-3.091898155E1,1.124776936E1,-3.861307144E1,5.072933098E1
8.307370000E-1,-3.009146881E1,1.267882919E1,-3.882287979E1,5.072933274E1
8.407460000E-1,-2.949525833E1,1.340637589E1,-3.903541946E1,5.072933226E1
8.507540000E-1,-2.877482796E1,1.411274910E1,-3.932307816E1,5.072932965E1
8.607630000E-1,-2.793709373E1,1.478520584E1,-3.967847443E1,5.072932930E1
8.707730000E-1,-2.699526787E1,1.541413021E1,-4.008896255E1,5.072932895E1
8.807810000E-1,-2.699526787E1,1.541413021E1,-4.008896255E1,5.072932895E1
8.907670000E-1,-2.525283051E1,1.651605988E1,-4.077964020E1,5.072932817E1
9.008000000E-1,-2.525283051E1,1.651605988E1,-4.077964020E1,5.072932817E1
9.108080000E-1,-2.525283051E1,1.651605988E1,-4.077964020E1,5.072932817E1
9.207930000E-1,-2.479480743E1,1.781909370E1,-4.051126099E1,5.072932922E1
9.308270000E-1,-2.479480743E1,1.781909370E1,-4.051126099E1,5.072932922E1
9.408350000E-1,-2.479480743E1,1.781909370E1,-4.051126099E1,5.072932922E1
9.508280000E-1,-2.527077103E1,1.856751251E1,-3.987606430E1,5.072932971E1
9.608530000E-1,-2.515851784E1,1.867030907E1,-3.989904022E1,5.072932950E1
9.708610000E-1,-2.488885498E1,1.873608208E1,-4.003709793E1,5.072933160E1
9.808690000E-1,-2.447814751E1,1.878801155E1,-4.026531601E1,5.072932837E1
9.908800000E-1,-2.393265343E1,1.884392357E1,-4.056599045E1,5.072933014E1
1.000888000E0,-2.393265343E1,1.884392357E1,-4.056599045E1,5.072933014E1
1.010897000E0,-2.260201645E1,1.900738525E1,-4.124721909E1,5.072933002E1
1.020907000E0,-2.200707817E1,1.912926292E1,-4.151174164E1,5.072932962E1
1.030915000E0,-2.200707817E1,1.912926292E1,-4.151174164E1,5.072932962E1
1.040924000E0,-2.128342438E1,1.954084778E1,-4.169695282E1,5.072932840E1
1.050933000E0,-2.116077423E1,1.982213593E1,-4.162654877E1,5.072933078E1
1.060941000E0,-2.117374992E1,2.013584137E1,-4.146908188E1,5.072932629E1
1.070937000E0,-2.123515129E1,2.044852638E1,-4.128427124E1,5.072933011E1
1.080960000E0,-2.126169586E1,2.072948456E1,-4.113020325E1,5.072932939E1
1.090968000E0,-2.126169586E1,2.072948456E1,-4.113020325E1,5.072932939E1
1.100978000E0,-2.113572121E1,2.124583435E1,-4.093116760E1,5.072932751E1
1.110987000E0,-2.093917465E1,2.154343224E1,-4.087659836E1,5.072932880E1
1.120995000E0,-2.059929848E1,2.189354515E1,-4.086326599E1,5.072933002E1
1.131004000E0,-2.010797501E1,2.231667900E1,-4.087908936E1,5.072932847E1
1.141014000E0,-1.949490738E1,2.282189941E1,-4.089711761E1,5.072932816E1
